Time resolution is 1 ps
Configuration completed                      0 ns
1. Accuracy: 0.000000, Detected number: 2, Expected: 0007
51. Accuracy: 9.803922, Detected number: 7, Expected: 0006
52. Accuracy: 9.615385, Detected number: 9, Expected: 0003
53. Accuracy: 9.433962, Detected number: 2, Expected: 0005
54. Accuracy: 9.259259, Detected number: 2, Expected: 0005
55. Accuracy: 9.090909, Detected number: 2, Expected: 0006
56. Accuracy: 8.928571, Detected number: 9, Expected: 0000
57. Accuracy: 8.771930, Detected number: 6, Expected: 0004
58. Accuracy: 8.620690, Detected number: 2, Expected: 0001
59. Accuracy: 8.474576, Detected number: 2, Expected: 0009
60. Accuracy: 8.333333, Detected number: 2, Expected: 0005
61. Accuracy: 8.196721, Detected number: 9, Expected: 0007
62. Accuracy: 9.677419, Detected number: 8, Expected: 0008
63. Accuracy: 9.523810, Detected number: 2, Expected: 0009
64. Accuracy: 9.375000, Detected number: 2, Expected: 0003
65. Accuracy: 9.230769, Detected number: 8, Expected: 0007
66. Accuracy: 10.606061, Detected number: 4, Expected: 0004
67. Accuracy: 10.447761, Detected number: 2, Expected: 0006
68. Accuracy: 10.294118, Detected number: 2, Expected: 0004
69. Accuracy: 10.144928, Detected number: 8, Expected: 0003
70. Accuracy: 10.000000, Detected number: 3, Expected: 0000
71. Accuracy: 9.859155, Detected number: 8, Expected: 0007
72. Accuracy: 9.722222, Detected number: 8, Expected: 0000
73. Accuracy: 9.589041, Detected number: 8, Expected: 0002
74. Accuracy: 9.459459, Detected number: 8, Expected: 0009
75. Accuracy: 9.333333, Detected number: 2, Expected: 0001
76. Accuracy: 9.210526, Detected number: 9, Expected: 0007
77. Accuracy: 9.090909, Detected number: 8, Expected: 0003
78. Accuracy: 10.256410, Detected number: 2, Expected: 0002
79. Accuracy: 10.126582, Detected number: 6, Expected: 0009
80. Accuracy: 10.000000, Detected number: 8, Expected: 0007
81. Accuracy: 9.876543, Detected number: 2, Expected: 0007
82. Accuracy: 9.756098, Detected number: 8, Expected: 0006
83. Accuracy: 10.843373, Detected number: 2, Expected: 0002
84. Accuracy: 10.714286, Detected number: 2, Expected: 0007
85. Accuracy: 10.588235, Detected number: 2, Expected: 0008
86. Accuracy: 10.465116, Detected number: 9, Expected: 0004
87. Accuracy: 10.344828, Detected number: 9, Expected: 0007
88. Accuracy: 10.227273, Detected number: 2, Expected: 0003
89. Accuracy: 10.112360, Detected number: 5, Expected: 0006
90. Accuracy: 10.000000, Detected number: 2, Expected: 0001
91. Accuracy: 9.890110, Detected number: 9, Expected: 0003
92. Accuracy: 9.782609, Detected number: 8, Expected: 0006
93. Accuracy: 9.677419, Detected number: 8, Expected: 0009
94. Accuracy: 9.574468, Detected number: 2, Expected: 0003
95. Accuracy: 9.473684, Detected number: 2, Expected: 0001
96. Accuracy: 10.416667, Detected number: 4, Expected: 0004
97. Accuracy: 10.309278, Detected number: 2, Expected: 0001
98. Accuracy: 10.204082, Detected number: 2, Expected: 0007
99. Accuracy: 10.101010, Detected number: 9, Expected: 0006
100. Accuracy: 10.000000, Detected number: 2, Expected: 0009
101. Accuracy: 9.900990, Detected number: 2, Expected: 0006
102. Accuracy: 9.803922, Detected number: 2, Expected: 0000
103. Accuracy: 9.708738, Detected number: 8, Expected: 0005
104. Accuracy: 9.615385, Detected number: 8, Expected: 0004
105. Accuracy: 9.523810, Detected number: 8, Expected: 0009
106. Accuracy: 9.433962, Detected number: 2, Expected: 0009
107. Accuracy: 10.280374, Detected number: 2, Expected: 0002
108. Accuracy: 10.185185, Detected number: 8, Expected: 0001
109. Accuracy: 10.091743, Detected number: 4, Expected: 0009
110. Accuracy: 10.000000, Detected number: 8, Expected: 0004
111. Accuracy: 9.909910, Detected number: 2, Expected: 0008
112. Accuracy: 9.821429, Detected number: 8, Expected: 0007
113. Accuracy: 9.734513, Detected number: 8, Expected: 0003
114. Accuracy: 9.649123, Detected number: 8, Expected: 0009
115. Accuracy: 9.565217, Detected number: 8, Expected: 0007
116. Accuracy: 9.482759, Detected number: 3, Expected: 0004
117. Accuracy: 9.401709, Detected number: 5, Expected: 0004
118. Accuracy: 9.322034, Detected number: 9, Expected: 0004
119. Accuracy: 9.243697, Detected number: 2, Expected: 0009
120. Accuracy: 10.000000, Detected number: 2, Expected: 0002
121. Accuracy: 10.743802, Detected number: 5, Expected: 0005
122. Accuracy: 10.655738, Detected number: 8, Expected: 0004
123. Accuracy: 10.569106, Detected number: 9, Expected: 0007
124. Accuracy: 10.483871, Detected number: 1, Expected: 0006
125. Accuracy: 10.400000, Detected number: 8, Expected: 0007
126. Accuracy: 10.317460, Detected number: 2, Expected: 0009
127. Accuracy: 10.236220, Detected number: 8, Expected: 0000
128. Accuracy: 10.937500, Detected number: 5, Expected: 0005
129. Accuracy: 11.627907, Detected number: 8, Expected: 0008
130. Accuracy: 12.307692, Detected number: 5, Expected: 0005
131. Accuracy: 12.213740, Detected number: 8, Expected: 0006
132. Accuracy: 12.121212, Detected number: 9, Expected: 0006
133. Accuracy: 12.030075, Detected number: 2, Expected: 0005
134. Accuracy: 11.940299, Detected number: 2, Expected: 0007
135. Accuracy: 12.592593, Detected number: 8, Expected: 0008
136. Accuracy: 12.500000, Detected number: 5, Expected: 0001
137. Accuracy: 12.408759, Detected number: 8, Expected: 0000
